MonthYear,FiscalYear,Department,Region,Account,AccountCategory,Scenario,Amount
2025-12,2025,Customer Success,EMEA,Cloud Hosting,COGS,Budget,107386
2025-12,2025,Customer Success,EMEA,Support,COGS,Actual,129941
2025-12,2025,Customer Success,EMEA,Support,COGS,Budget,128803
2025-12,2025,Customer Success,EMEA,Salaries,OpEx,Actual,64882
2025-12,2025,Customer Success,EMEA,Salaries,OpEx,Budget,62978
2025-12,2025,Customer Success,EMEA,Software Tools,OpEx,Actual,113570
2025-12,2025,Customer Success,EMEA,Software Tools,OpEx,Budget,113091
2025-12,2025,Customer Success,EMEA,Facilities,OpEx,Actual,111236
2025-12,2025,Customer Success,EMEA,Facilities,OpEx,Budget,113629
2025-12,2025,G&A,APAC,Subscription Revenue,Revenue,Actual,204844
2025-12,2025,G&A,APAC,Subscription Revenue,Revenue,Budget,208652
2025-12,2025,G&A,APAC,Professional Services,Revenue,Actual,276268
2025-12,2025,G&A,APAC,Professional Services,Revenue,Budget,284376
2025-12,2025,G&A,APAC,Cloud Hosting,COGS,Actual,89176
2025-12,2025,G&A,APAC,Cloud Hosting,COGS,Budget,90492
2025-12,2025,G&A,APAC,Support,COGS,Actual,123105
2025-12,2025,G&A,APAC,Support,COGS,Budget,122139
2025-12,2025,G&A,APAC,Salaries,OpEx,Actual,55207
2025-12,2025,G&A,APAC,Salaries,OpEx,Budget,53345
2025-12,2025,G&A,APAC,Software Tools,OpEx,Actual,48491
2025-12,2025,G&A,APAC,Software Tools,OpEx,Budget,48432
2025-12,2025,G&A,APAC,Facilities,OpEx,Actual,82248
2025-12,2025,G&A,APAC,Facilities,OpEx,Budget,84060
